Н-1;Огаревичи – Чудин – граница Минской области;9/101102
Н-2;Гончары – Куршиновичи – Ганцевичи;9/101102
Н-3;Остров (от автомобильной дороги Р-13 Клецк – Синявка – Ганцевичи – Лунинец) – Большие Круговичи;9/101102
Н-4;Липск – Мальковичи – Задубье;9/101102
Н-5;Хотыничи – Раздяловичи – Выгонощи;9/101102
Н-6;Денисковичи – Будча;9/101102
Н-8;Борки – Новосёлки;9/101102
Н-9;Начь – Ясенец;9/101102
Н-10;Остров – Крышиловичи;9/101102
Н-11;Раздяловичи – озеро Бобрик;9/101102
Н-12;Любашево – Передел – Куково;9/101102
Н-13;Любашево – Сукач;9/101102
Н-14;Огаревичи – Красыничи – Шашки;9/101102
Н-15;Куково – Малые Круговичи – Большие Круговичи;9/101102
Н-16;Остров (от автомобильной дороги Н-3 Остров (от автомобильной дороги Р-13 Клецк – Синявка – Ганцевичи – Лунинец) – Большие Круговичи) – Малые Круговичи;9/101102
Н-17;Огаревичи – Полонь;9/101102
Н-18;Люсино – Маково;9/101102
Н-19;Обход агрогородка Хотыничи от автомобильной дороги Н-5 Хотыничи – Раздяловичи – Выгонощи до автомобильной дороги Р-105 Ганцевичи – Логишин;9/101102
Н-20;Хотыничи – озеро Бобрик;9/101102
Н-21;Будча – Чудин;9/101102
Н-22;Будча – урочище Свидовик;9/101102
Н-23;Будча – урочище Побереж;9/101102
Н-24;Будча (от автомобильной дороги Н-6 Денисковичи – Будча) – урочище Добролуцкое (до автомобильной дороги Н-23 Будча – урочище Побереж);9/101102
Н-25;Ганцевичи – Ельня;9/101102
Н-27;Лунин – Белое озеро – Бостынь;9/101102
Н-28;Бостынь – Велута – Новоселки – Малые Чучевичи;9/101102
Н-29;Лунин – Богдановка;9/101102
Н-30;Граница Минской области – Межлесье – Красная Воля – Вичин;9/101102
Н-31;Бродница – Озерница – Любачин – Лахва;9/101102
Н-32;Сосновка – Лахва – Синкевичи;9/101102
Н-33;Ситницкий Двор – Синкевичи – Лутовень;9/101102
Н-34;Любань – Барсуково – граница Минской области;9/101102
Н-35;Большие Чучевичи – Боровики – Вулька-2;9/101102
Н-36;Вулька-1 – река Бобрик;9/101102
Н-37;Лунинец – река Припять;9/101102
Н-38;Бостынь – Вышни;9/101102
Н-39;Бостынь – Замошье;9/101102
Н-40;Лобча – Дубовка;9/101102
Н-41;Озерница – Борки;9/101102
Н-42;Редигерово – Моносеево;9/101102
Н-43;Мокрово – Острово – Намокрово;9/101102
Н-44;Дятловичи – Куповцы – Язвинки;9/101102
Н-45;Красная Воля – Барсуково;9/101102
Н-47;Боровики – Кормуж;9/101102
Н-48;Ракитно – Припять;9/101102
Н-50;Язвинки – Вичин;9/101102
Н-51;Люща – Велута;9/101102
Н-52;Полесский – река Бобрик;9/101102
Н-53;Вичин – Сосновка;9/101102
Н-54;Велута – Большие Чучевичи;9/101102
Н-55;Дятловичи – до автомобильной дороги Н-35 Большие Чучевичи – Боровики – Вулька-2;9/101102
Н-56;Микашевичи – Вильча;9/101102
Н-57;Новоселки – Боровики;9/101102
Н-58;Сосновка – Ракитно;9/101102
Н-59;Вичин – Дребск;9/101102
Н-60;Вулька-2 – Добрая Воля;9/101102
Н-61;Редигерово – Перуново;9/101102
Н-62;Кожан-Городок – Бабы;9/101102
Н-63;Галый Бор – Яворово;9/101102
Н-64;Яжевки – Любожердье;9/101102
Н-65;Микашевичи – Песчаники;9/101102
