М-1/Е 30;r78041;Брэст (Казловічы) – Мінск – мяжа Расійскай Федэрацыі (Рэдзькі);Брест (Козловичи) – Минск – граница Российской Федерации (Редьки);
М-1/П 1;;;Подъезд к городу Дзержинску от автомобильной дороги М-1/Е 30;'relation' адсутнічае
М-1/П 2;;;Подъезд к городу Пружаны от автомобильной дороги М-1/Е 30;'relation' адсутнічае
М-1/П 3;;;Подъезд к аэропорту Брест от автомобильной дороги М-1/Е 30;'relation' адсутнічае
М-1/П 4;;;Подъезд к городу Кобрину от автомобильной дороги М-1/Е 30;'relation' адсутнічае
М-1/П 5;;;Подъезд к городу Бресту от автомобильной дороги М-1/Е 30;'relation' адсутнічае
М-1/П 6;;;Подъезд к деревне Большие Косичи от автомобильной дороги М-1/Е 30;'relation' адсутнічае
М-1/П 7;;;Подъезд к городу Бресту (до улицы Писателя Смирнова) от автомобильной дороги М-1/Е 30;'relation' адсутнічае
М-2;r159001;Мінск – Нацыянальны аэрапорт Мінск;Минск – Национальный аэропорт Минск;
М-3;r164796;Мінск – Віцебск;Минск – Витебск;прысутнічае непатрэбны 'official_name'
М-3/П 1;;;Подъезд к городу Логойску от автомобильной дороги М-3;'relation' адсутнічае
М-3/П 2;;;Подъезд к мемориальному комплексу «Хатынь» от автомобильной дороги М-3;'relation' адсутнічае
М-3/П 3;;;Подъезд к городскому посёлку Бешенковичи от автомобильной дороги М-3;'relation' адсутнічае
М-4;r164800;Мінск – Магілёў;Минск – Могилев;прысутнічае непатрэбны 'official_name'
М-4/П 1;;;Подъезд к аэропорту Могилев от автомобильной дороги М-4;'relation' адсутнічае
М-4/П 4;;;Подъезд к деревне Хвойники от автомобильной дороги М-4;'relation' адсутнічае
М-4/П 5;;;Подъезд к городу Белыничи от автомобильной дороги М-4;'relation' адсутнічае
М-5/Е 271;r165064;Мінск – Гомель;Минск – Гомель;прысутнічае непатрэбны 'official_name'
М-5/П 1;;;Подъезд к городу Бобруйску № 1 от автомобильной дороги М-5/Е 271;'relation' адсутнічае
М-5/П 2;;;Подъезд к городу Бобруйску № 2 от автомобильной дороги М-5/Е 271;'relation' адсутнічае
М-5/П 4;;;Подъезд к посёлку Сосновый от автомобильной дороги М-5/Е 271;'relation' адсутнічае
М-5/П 5;;;Подъезд к деревне Белица от автомобильной дороги М-5/Е 271;'relation' адсутнічае
М-6/Е 28;r158244;Мінск – Гродна – мяжа Рэспублікі Польшча (Брузгі);Минск – Гродно – граница Республики Польша (Брузги);
М-6/П 1;;;Подъезд к городу Воложину № 1 от автомобильной дороги М-6/Е 28;'relation' адсутнічае
М-6/П 2;;;Подъезд к городу Лиде от автомобильной дороги М-6/Е 28;'relation' адсутнічае
М-6/П 3;;;Подъезд к аэропорту Гродно от автомобильной дороги М-6/Е 28;'relation' адсутнічае
М-6/П 4;;;Подъезд к городу Гродно от автомобильной дороги М-6/Е 28 (км 262,3);'relation' адсутнічае
М-6/П 5;r1060331;Пад'езд да горада Гродна ад аўтамабільнай дарогі М-6/Е 28 (км 262,3);Подъезд к городу Гродно от автомобильной дороги М-6/Е 28 (км 287,3);'official_ref' не адпавядае 'ref'
М-6/П 6;;;Подъезд к границе Республики Польша (Брузги-2) от автомобильной дороги М-6/Е 28;'relation' адсутнічае
М-6/П 7;;;Подъезд к городу Воложину № 2 от автомобильной дороги М-6/Е 28;'relation' адсутнічае
М-7/Е 28;r164792;Мінск – Ашмяны – мяжа Літоўскай Рэспублікі (Каменны Лог);Минск – Ошмяны – граница Литовской Республики (Каменный Лог);
М-7/П 1;;;Подъезд к городу Воложину от автомобильной дороги М-7/Е 28;'relation' адсутнічае
М-8/Е 95;r214493;Мяжа Расійскай Федэрацыі (Езярышча) – Віцебск – Гомель – мяжа Украіны (Новая Гута);Граница Российской Федерации (Езерище) – Витебск – Гомель – граница Украины (Новая Гута);
М-8/П 1;;;Подъезд к аэропорту Витебск от автомобильной дороги М-8/Е 95;'relation' адсутнічае
М-8/П 2;;;Подъезд к городу Орше от автомобильной дороги М-8/Е 95;'relation' адсутнічае
М-8/П 3;;;Подъезд к городскому посёлку Копысь (до автомобильной дороги Р-76) от автомобильной дороги М-8/Е 95;'relation' адсутнічае
М-8/П 4;;;Подъезд к городу Шклову от автомобильной дороги М-8/Е 95;'relation' адсутнічае
М-8/П 5;;;Подъезд к городу Могилеву от автомобильной дороги М-8/Е 95;'relation' адсутнічае
М-8/П 6;;;Подъезд к городу Быхову от автомобильной дороги М-8/Е 95;'relation' адсутнічае
М-8/П 7;;;Подъезд к городу Гомелю от автомобильной дороги М-8/Е 95;'relation' адсутнічае
М-8/П 8;;;Проезд по городскому посёлку Копысь (улица Ленинская) от автомобильной дороги М-8/П 3;'relation' адсутнічае
М-10;r1245488;Мяжа Расійскай Федэрацыі (Селішча) – Гомель – Кобрын;Граница Российской Федерации (Селище) – Гомель – Кобрин;
М-10/П 1;;;Подъезд к городу Гомелю от автомобильной дороги М-10;'relation' адсутнічае
М-10/П 2;;;Подъезд к городу Петрикову от автомобильной дороги М-10;'relation' адсутнічае
М-10/П 3;;;Подъезд к городу Житковичи от автомобильной дороги М-10;'relation' адсутнічае
М-10/П 4;;;Подъезд к городу Лунинцу от автомобильной дороги М-10;'relation' адсутнічае
М-10/П 5;;;Подъезд к комплексу мелованного картона от автомобильной дороги Подъезд к городу Добрушу от автомобильной дороги М-10;'relation' адсутнічае
М-10/П 6;;;Подъезд к деревне Горошков от автомобильной дороги М-10;'relation' адсутнічае
М-10/П 7;;;Подъезд к городу Добрушу (до автомобильной дороги Р-124) от автомобильной дороги М-10;'relation' адсутнічае
М-10/П 8;;;Подъезд к автомобильной дороге Р-131 от автомобильной дороги М-10;'relation' адсутнічае
М-11/Е 85;r2622268;Мяжа Літоўскай Рэспублікі (Беняконі) – Ліда – Слонім – Быцень;Граница Литовской Республики (Бенякони) – Лида – Слоним – Бытень;
М-11/П 1;;;Подъезд к санаторию «Радон» от автомобильной дороги М-11/Е 85;'relation' адсутнічае
М-11/П 2;;;Подъезд к городу Лиде от автомобильной дороги М-11/Е 85 (км 39,598);'relation' адсутнічае
М-12/Е 85;r1273235;Кобрын – мяжа Украіны (Макраны);Кобрин – граница Украины (Мокраны);
М-14;;;Вторая кольцевая автомобильная дорога вокруг города Минска;'relation' адсутнічае
;w997013022;;;'{ref}' адсутнічае ў Законе
;w997013028;;;'{ref}' адсутнічае ў Законе
;w997013027;;;'{ref}' адсутнічае ў Законе
;r176497;;Кольцевая дорога вокруг г. Минска;'{ref}' адсутнічае ў Законе
;w996657502;;;'{ref}' адсутнічае ў Законе
;w997013026;;;'{ref}' адсутнічае ў Законе
Р-1;r2569928;Мінск – Дзяржынск;Минск – Дзержинск;'ref' не пачынаецца з 'Р'|прысутнічае непатрэбны 'description'
Р-1/П 1;;;Подъезд к деревне Волковичи от автомобильной дороги Р-1;'relation' адсутнічае
Р-2/Е 85;r903897;Стоўбцы – Івацэвічы – Кобрын;Столбцы – Ивацевичи – Кобрин;прысутнічае непатрэбны 'description'
Р-3;r2793958;Лагойск – Зэмбін – Глыбокае – мяжа Латвійскай Рэспублікі (Урбаны);Логойск – Зембин – Глубокое – граница Латвийской Республики (Урбаны);
Р-3/П 1;;;Подъезд к автомобильной дороге Р-86 (в обход города Докшицы) от автомобильной дороги Р-3;'relation' адсутнічае
Р-4;r2786077;Баранавічы – Ляхавічы (да аўтамабільнай дарогі Р43);Барановичи – Ляховичи (до автомобильной дороги Р-43);
Р-4/П 1;;;Подъезд к городу Ляховичи от автомобильной дороги Р-4;'relation' адсутнічае
Р-4/П 2;;;Подъезд к автомобильной дороге М-1/Е 30 от автомобильной дороги Р-4;'relation' адсутнічае
Р-5;r189525;Баранавічы – Навагрудак – Іўе;Барановичи – Новогрудок – Ивье;прысутнічае непатрэбны 'description'
Р-6;r1131871;Івацэвічы – Пінск – Столін;Ивацевичи – Пинск – Столин;прысутнічае непатрэбны 'description'
Р-6/П 1;;;Подъезд к автомобильной дороге Р-2/Е 85 от автомобильной дороги Р-6;'relation' адсутнічае
Р-7;r1695183;Камянец – Жабінка – Федзькавічы.;Каменец – Жабинка – Федьковичи;
Р-8;r2786087;Лунінец – Пінск;Лунинец – Пинск;
Р-9;r2648213;Высокае – Воўчын – мяжа Рэспублікі Польшча;Высокое – Волчин – Костари;
