М-1/Е 30;r78041;Брэст (Казловічы) — Мінск — мяжа Расійскай Федэрацыі (Рэдзькі);Брест (Козловичи) — Минск — граница Российской Федерации (Редьки);'name:ru' не супадае з назвай у Законе
М-2;r159001;Мінск — Нацыянальны аэрапорт Мінск;Минск — Национальный аэропорт Минск;'name:ru' не супадае з назвай у Законе
М-3;r164796;Мінск — Віцебск;Минск — Витебск;'name:ru' не супадае з назвай у Законе
М-4;r164800;Мінск — Магілёў;Минск — Могилёв;'name:ru' не супадае з назвай у Законе
М-5/Е 271;r165064;Мінск — Гомель;Минск — Гомель;'name:ru' не супадае з назвай у Законе
М-6/Е 28;r158244;Мінск — Гродна — мяжа Рэспублікі Польшча (Брузгі);Минск — Гродно — граница Республики Польша (Брузги);'name:ru' не супадае з назвай у Законе
М-6/П 5;r1060331;Пад'езд да горада Гродна ад аўтамабільнай дарогі М-6/Е 28 (км 262,3);Подъезд к городу Гродно от автомобильной дороги М-6/Е 28 (км 262,3);'official_ref' не адпавядае 'ref'|'name:ru' не супадае з назвай у Законе
М-7/Е 28;r164792;Мінск — Ашмяны — мяжа Літоўскай Рэспублікі (Каменны Лог);Минск — Ошмяны — граница Литовской Республики (Каменный Лог);'name:ru' не супадае з назвай у Законе
М-8/Е 95;r214493;Мяжа Расійскай Федэрацыі (Езярышча) — Віцебск — Гомель — мяжа Украіны (Новая Гута);Граница Российской Федерации (Езерище) — Витебск — Гомель — граница Украины (Новая Гута);'name:ru' не супадае з назвай у Законе
М-10;r1245488;Мяжа Расійскай Федэрацыі (Селішча) — Гомель — Кобрын;Граница Российской Федерации (Селище) — Гомель — Кобрин;'name:ru' не супадае з назвай у Законе
М-11/Е 85;r2622268;Мяжа Літоўскай Рэспублікі (Беняконі) — Ліда — Слонім — Быцень;Граница Литовской Республики (Бенякони) — Лида — Слоним — Бытень;'name:ru' не супадае з назвай у Законе
М-12/Е 85;r1273235;Кобрын — мяжа Украіны (Макраны);Кобрин — граница Украины (Мокраны);'name:ru' не супадае з назвай у Законе
Р-1;r2569928;Мінск — Дзяржынск;Минск — Дзержинск;'ref' не пачынаецца з 'Р'|'name:ru' не супадае з назвай у Законе
Р-2/Е 85;r903897;Стоўбцы — Івацэвічы — Кобрын;Столбцы — Ивацевичи — Кобрин;'name:ru' не супадае з назвай у Законе
