r317821;;;не прывязаны да майстар-маршрута
r317885;Гродна — Баранавічы;Гродно — Барановичи;не прывязаны да майстар-маршрута
r1636400;Рыга — Мінск;Рига — Минск;не прывязаны да майстар-маршрута
r1756463;14: Знешняе кальцо;14: внешнее кольцо;не прывязаны да майстар-маршрута
r2270271;Гомель - Клёнкі - Гомель;Гомель - Клёнки - Гомель;не прывязаны да майстар-маршрута
r3640250;Ваўкавыск-Горад — Свіслач;Волковыск-Город — Свислочь;не прывязаны да майстар-маршрута
r4154172;Рэчыца — Балашаўка;Речица — Балашевка;не прывязаны да майстар-маршрута
r4154195;Рэчыца — Ведрыч;Речица-Ведрич;не прывязаны да майстар-маршрута
r4222530;3А: Прымастовая – завод ЖБВ;3А Примостовая - завод ЖБИ;не прывязаны да майстар-маршрута
r4523750;Мінск — Рудзенск;Минск — Руденск;не прывязаны да майстар-маршрута
r4536715;Фаніпаль-Баравікі;Фаниполь-Боровики;не прывязаны да майстар-маршрута
r7876750;Гомель — Столін;Гомель-Столин;не прывязаны да майстар-маршрута
r7923453;Гомель — Ветка;Гомель-Ветка;не прывязаны да майстар-маршрута
r12460181;;;не прывязаны да майстар-маршрута
r14465329;Ц. Бальніца - Альбрэхтова;Ц. Больница - Альбрехтово;не прывязаны да майстар-маршрута
r14568053;Кузлітмаш - Паркавая - Цэнтральная бальніца;Кузлитмаш - Парковая - Центральная больница;не прывязаны да майстар-маршрута
r14961032;Узда АВ – Хатляны;;не прывязаны да майстар-маршрута
r16035900;Брэст-Лунінец;Брест-Лунинец;не прывязаны да майстар-маршрута
r16304657;Аўтобус 65: Вуліца Каштанавая (кальцавы);Автобус 65: Улица Каштановая (кольцевой);не прывязаны да майстар-маршрута
r17315351;Дзіцячая чыгунка імя Канстанціна Сяргеевіча Заслонава;Детская железная дорога имени Константина Сергеевича Заслонова;не прывязаны да майстар-маршрута
r18108921;Прыгарадны электрацягнік: Інстытут Культуры => Барысаў;Пригородный электропоезд: Институт Культуры => Борисов;не прывязаны да майстар-маршрута
r18108922;Прыгарадны электрацягнік: Орша-Цэнтральная => Інстытут Культуры;Пригородный электропоезд: Орша-Центральная => Институт Культуры;не прывязаны да майстар-маршрута
r18109042;Прыгарадны электрацягнік: Мінск-Усходні => Орша-Цэнтральная;Пригородный электропоезд: Минск-Восточный => Орша-Центральная;не прывязаны да майстар-маршрута
r18116864;Прыгарадны электрацягнік: Барысаў => Орша-Цэнтральная;Пригородный электропоезд: Борисов => Орша-Центральная;не прывязаны да майстар-маршрута
r18116868;Прыгарадны электрацягнік: Крупкі => Мінск-Усходні;Пригородный электропоезд: Крупки => Минск-Восточный;не прывязаны да майстар-маршрута
r19370536;Аўтобус №53: Вуліца Ражанскага — Вуліца Дзяржынскага;Автобус №53: Улица Рожанского — Улица Дзержинского;не прывязаны да майстар-маршрута
r19370537;Аўтобус №53: Вуліца Дзяржынскага — Вуліца Ражанскага;Автобус №53: Улица Дзержинского — Улица Рожанского;не прывязаны да майстар-маршрута
r19632688;Аўтобус 32: Вуліца Пенязькова (кальцавы);Автобус 32: Улица Пенязькова (кольцевой);не прывязаны да майстар-маршрута

master;r74158;trolleybus;Тралейбус №53 - ДС Малінаўка-4 - ДС Зялёный луг-7;Троллейбус №53 - ДС Малиновка-4 - ДС Зеленый Луг;
route;r9343928;trolleybus;Тралейбус №53 - ДС Малінаўка-4 - ДС Зялёный луг-7;Троллейбус №53 - ДС Малиновка-4 - ДС Зеленый Луг;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|way не паслядоўныя|way занадта разарваны|не супадае колькасць: 42 прыпынкаў і 43 платформаў|назва 'name:be' майстар-маршруту не "Тралейбус №53"|назва 'name:ru' майстар-маршруту не "Тролейбус №53"
route;r9343927;trolleybus;Тралейбус №53 - ДС Зялёный луг-6 - ДС Малінаўка-4;Троллейбус №53 - ДС Зеленый Луг-6 - ДС Малиновка-4;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|way не паслядоўныя|way занадта разарваны|назва 'name:be' майстар-маршруту не "Тралейбус №53"|назва 'name:ru' майстар-маршруту не "Тролейбус №53"

master;r74375;trolleybus;Тралейбус №3 - ДС Ангарская-4 - Вакзал;Троллейбус №3 - ДС Ангарская-4 - Вокзал;
route;r7392218;trolleybus;Тралейбус №3 - ДС Ангарская-4 - Вакзал;Троллейбус №3 - ДС Ангарская-4 - Вокзал;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|назва 'name:be' майстар-маршруту не "Тралейбус №3"|назва 'name:ru' майстар-маршруту не "Тролейбус №3"
route;r7392217;trolleybus;Тралейбус №3 - Вакзал - ДС Ангарская-4;Троллейбус №3 - Вокзал - ДС Ангарская-4;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|назва 'name:be' майстар-маршруту не "Тралейбус №3"|назва 'name:ru' майстар-маршруту не "Тролейбус №3"

master;r74453;bus;Аўтобус №33;Автобус №33;
route;r9443333;bus;Аўтобус №33 - Копішча - ст.м. Уручча;Автобус №33 - Копище - ст.м. Уручье;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "ст."|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №33"|назва 'name:ru' майстар-маршруту не "Aвтобус №33"
route;r9443332;bus;Аўтобус №33 - ст.м. Уручча - Копішча;Автобус №33 - ст.м. Уручье - Копище;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "ст."|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Прыгарадны аўтобус №33"|назва 'name:ru' майстар-маршруту не "Aвтобус №33"

master;r75826;bus;Аўтобус №1;Автобус №1;
